id,name,equipment_type,manufacturer,safety_surface_type,ada_accessible,street_number,street,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
657712800,Rhododendron Playground,Swing 2 Bays,Landscape Structures,Pour in Place,t,,Lake Dr,Highland Park,7,11,42003980100,2,11,5,3-9,40.47915681,-79.91061763
1663513685,Rhododendron Playground,Play Area 5 to 12,Landscape Structures,Pour in Place,f,,Lake Dr,Highland Park,7,11,42003980100,2,11,5,3-9,40.4792922,-79.91073223
606619775,Joe Natoli Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,1730,Chislett St,Morningside,7,10,42003101400,2,10,5,3-7,40.48457817,-79.92598109
141768444,Joe Natoli Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,1730,Chislett St,Morningside,7,10,42003101400,2,10,5,3-7,40.48469686,-79.92607619
694005584,Joe Natoli Playground,Swing 4 Bays,Playworld,SofSurfaces,t,1720,Chislett St,Morningside,7,10,42003101400,2,10,5,3-7,40.48449446,-79.92627735
1964960730,Lawn & Ophelia Playground,Play Area 5 to 12,Playworld,Tiles,f,,Ophelia St,South Oakland,6,4,42003040900,3,4,4,2-10,40.43552284,-79.96548485
1176920895,Lawn & Ophelia Playground,Swing 2 Bays,Playworld,Tiles,f,,Ophelia St,South Oakland,6,4,42003040900,3,4,4,2-10,40.43550057,-79.96522151
277523687,Able Long Playground,Spring Toy - Dragon,Little Tykes,,f,211,Coast Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.40836339,-80.02850653
2057742379,Armstrong Playground,Swing 3 Bays,Playworld,SofSurfaces,t,81,S 12th St,South Side Flats,3,17,42003170200,3,17,3,4-24,40.4281679,-79.98625805
75953798,Leslie Playground,Play Area 5 to 12,Landscape Structures,SofSurfaces,f,217,46th St,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47260519,-79.95814563
600819471,Leslie Playground,Play Area 2 to 5,Landscape Structures,SofSurfaces,f,4600,Butler St,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47274813,-79.95803029
1288892471,Leslie Playground,Swing 3 Bays,Landscape Structures,SofSurfaces,t,213,46th St,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47272031,-79.95825219
1241207456,Magee Playground,Play Area 5 to 12,Playworld,Greenpark Breakfall,f,745,Greenfield Ave,Greenfield,5,15,42003151700,3,15,4,2-15,40.42446499,-79.93714156
559833119,Magee Playground,Swing 2 Bays,Playworld,Greenpark Breakfall,t,745,Greenfield Ave,Greenfield,5,15,42003151700,3,15,4,2-15,40.42455948,-79.93718887
1719727160,Manchester Playground,Swing 2 Bays,Playworld,Tiles,t,,,Manchester,6,21,42003210700,1,21,1,1-8,40.45852728,-80.02567068
1528874739,Manchester Playground,Play Area 5 to 12,Playworld,Tiles,f,,,Manchester,6,21,42003210700,1,21,1,1-8,40.45849073,-80.02590671
2011909409,Manchester Playground,Play Area 2 to 5,Playworld,Tiles,f,,,Manchester,6,21,42003210700,1,21,1,1-8,40.45851161,-80.02580545
614040402,McCandless Playground,Swing 2 Bays,Playworld,Pour in Place,t,,McCandless Ave,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48080179,-79.9526855
509755316,McCandless Playground,Play Area 5 to 12,Playworld,Pour in Place,f,,McCandless Ave,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48073131,-79.95259528
464653208,Armstrong Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,,Carson St,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42821987,-79.98613126
808778103,McKinley Playground,Swing 3 Bays,Iron Mountain Forge,Engineered Wood Fiber,f,172,Amesbury St,Beltzhoover,4,18,42003562400,5,18,3,4-16,40.41393384,-80.00436589
1461566878,McKinley Playground,Play Area 2 to 5,Iron Mountain Forge,Engineered Wood Fiber,f,164,Amesbury St,Beltzhoover,4,18,42003562400,5,18,3,4-16,40.41387409,-80.00452539
1895053679,McKinley Playground,Play Area 5 to 12,Iron Mountain Forge,Engineered Wood Fiber,f,166,Amesbury St,Beltzhoover,4,18,42003562400,5,18,3,4-16,40.41395764,-80.00450344
979343117,Monongahela Playground,Swing 2 Bays,Playworld,Greenpark Breakfall,f,3016,Josephine St,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42193647,-79.96576403
1992265011,Nelson Mandela Playground,Swing 2 Bays,Playworld,SofSurfaces,t,,N Evaline St,Garfield,9,10,42003101700,2,10,5,3-4,40.46611838,-79.94057185
1851660710,Nelson Mandela Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,,N Evaline St,Garfield,9,10,42003101700,2,10,5,3-4,40.4659845,-79.9406845
1772581,Nelson Mandela Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,,N Evaline St,Garfield,9,10,42003101700,2,10,5,3-4,40.46599563,-79.9406016
1724844286,Niagara Playground,Play Area 2 to 5,Playworld,Pour in Place,f,,Craft Ave,South Oakland,3,4,42003040900,3,4,4,2-10,40.43466977,-79.96028514
1582311630,Niagara Playground,Play Area 5 to 12,Playworld,Pour in Place,f,,Craft Ave,South Oakland,3,4,42003040900,3,4,4,2-10,40.43466977,-79.96028514
1803785775,Ormsby Playground,Swing 3 Bays,,,t,59,S 22nd St,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42936925,-79.97404419
251472869,Arsenal Playground,Swing 4 Bays,Little Tykes,SofSurfaces,t,253,39th St,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46672012,-79.96152431
1204817383,Ormsby Playground,Play Area 2 to 12,,,f,59,S 22nd St,South Side Flats,3,16,42003160900,3,16,3,4-24,40.4294464,-79.97427218
925376947,Ormsby Playground,Play Area 5 to 12,,,f,59,S 22nd St,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42938285,-79.97417025
966495712,Paul Sciullo Jr. Playground,Swing 2 Bays,Playworld,SofSurfaces,t,336,Ella St,Bloomfield,7,8,42003080200,2,8,5,3-1,40.4623091,-79.9530673
2016675772,Paul Sciullo Jr. Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,333,Darsie St,Bloomfield,7,8,42003080200,2,8,5,3-1,40.46237749,-79.95320678
2005900449,Pauline Playground,Swing 3 Bays,Landscape Structures,,t,2170,Pauline Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.40480307,-80.02563459
1131214465,Pauline Playground,Climber - Overhead,Landscape Structures,,f,2170,Pauline Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.40471703,-80.02563459
1251680252,Pauline Playground,Play Area 5 to 12,Landscape Structures,,f,2170,Pauline Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.40473219,-80.02578748
1905344824,Pauline Playground,Wall Climber,Landscape Structures,,f,2170,Pauline Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.4046636,-80.02591622
1380720601,Pauline Playground,Whirl,Landscape Structures,,f,2170,Pauline Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.40461725,-80.02587062
77683640,Paulson Playground,Swing 2 Bays,Playworld,Tiles,t,1314,Paulson Ave,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46895261,-79.9006435
40916685,Arsenal Playground,Play Area 2 to 12,Little Tykes,SofSurfaces,f,258,40th St,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46686067,-79.96141434
